rb,,pitanje,a,b,c,d
30,2,Kako se zove najve?a tehnološka kompanija u Južnoj Koreji ?,Samsung,lG,Huawei,Casio
31,2,"Koji je sada poznati TV kuvar po?eo kuvati u osmoj godini u pubu ""The Cricketers"", u Claveringu, Essexu ?", Jamie Oliver,Gordon Ramsay,Alain Ducasse,Thomas Keller
32,2, Koji je metal otkrio Hans Christian Oersted 1825. godine ?,Aluminijum,Bronzu,Platina,Radijum
33,2,Tko je igrao 'Bodie' i 'Doyle' useriji  The Professionals?,Lewis Collins i Martin Shaw,Michael Caine i Daniel Day-Lewis, Liam Neeson i Anthony Hopkins,Sean Connery i Gary Oldman
34,2,Što je u posjetnici Al Caponea navedeno njegovo zanimanje?,Prodava? rabljenog namještaja,Moler,Zidar,Stomatolog
35,2,U kojoj je godini The Godfather prvi put objavljen?,1972,1970,1969,1973
36,2,Titanik je potonuo 15. Aprila koje godine ?,1912,1910,1911,1913
37,2,Halleyeva kometa pro?e pored Zemlje svakih koliko godina?,75,65,80,95
38,2,Koliko strana ima dodekaedar ?,12,8,10,14
39,2,Sa kojim gradom se naj?eš?e povezuje umjetnik Banksy?,Bristol,London,Manchester,Leicester
40,2,Ravnice na sjeveru Rusije nazivaju se?,Tundre,Ledare,stepe,Pustinje
41,2,Pjesmu My Way u izvornoj verziji pjeva?,Frank Sinatra,Bob Dylan,Shirley Bessie,Dean Martin
42,2,"Drugi dio kog filmskog serijala je poznat pod nazivom ""Drumski ratnik"" ?", Pobješnjeli Max,Smrtonosno oružje,Umri muški,Terminator
43,2, U kojem je filmu Hugh Jackman glumio suparni?kog ma?ioni?araka liku kojeg glumi Christian Bale ?,Prestige,Bad Education,The Front Runner,Pan
44,2,Koji je britanski akcijski glumac igrao ulogu Leeja Boži?a zajedno sa Sylvesterom Stalloneom u filmu The Expendables?,Jason Statham,Dolph Lundgren,Mickey Rourke,Eric Roberts
45,2,Tko je bio BBC-jeva 'Sportska li?nost godine' 2001. godine?,David Beckham, Steven Gerrard,Michael Schumacher,Pete Sampras
46,2,Koliko igra?a ima u olimpijskom timu za curling?,4,3,5,7
47,2, Koliko srca ima hobotnica?,3,2,8,1
48,2,U kojoj su godini Beatlesi prvi put otišli u SAD?,1964,1966,1970,1971
49,2, Kako se zvao prvi album Adele?,Hometown Glory,Chasing Pavements,Cold Shoulder,Make You Feel My Love
50,2," Koja je ameri?ka pop zvijezda postigla uspjeh na ljestvici 2015. sa singlovima ""Sorry"" i ""Love Yourself""?",Justin Bieber,Beyoncé,Michael Jackson,Ariana Grande
51,2, U kojoj se godini Arsenal preselio na stadion Emirates iz Highburyja?,2006,2004,2000,2010
52,2,Koje godine je ro?en William Shakespeare ?,1564,1500,1555,1565
53,2,"Daenerys ima 3 zmaja, dva se zovu Drogon i Rhaegal, kako se zove tre?i ?",Viserion,Aiden,Ghidorah,Smaug
54,2,Kako se zove Direwolf Jona Snowa ?,Ghost,Lady,Nymeria,Summer
55,2,Koji je film o Bondu objavljen 2006. godine?,Casino Royale,Die Another Day,Quantum of Solace,Skyfall
56,2,Koliko je godina imao Michael kad je tužno preminuo 2009. godine?,50,49,44,52
57,2,Koje je pravo ime Crne pantere?,T'Challa,M'Baku,N'Jadaka,N'Jobu
58,2, Koliko ima beskona?nih kamenja?,6,5,7,4
59,3,"Koji je naslov prvog filma Carry On serijala,snimljenog i objavljenog 1958.?",Carry On Sergeant,Carry On Cruising,Carry On Again Doctor,Carry On Cowboy
60,3,Tko je bio premijer Velike Britanije od 1841. do 1846. godine ?,Robert Peel,Arthur James Balfour,Benjamin Disraeli,William Ewart Gladstone
61,3,Tko je izumio Ma?je o?i 1934. da bi poboljšao sigurnost na cestama ?,Percy Shaw,Thomas Alva Edison,Erwin Schrödinger,Ivan Pavlov
62,3,Koje je godine napravljen prvi kamion Tonka?,1947,1945,1948,1949
63,3,Tko je 1810. izumio limenku za konzerviranje hrane?,Peter Durand,Charles Goodyear,Ottmar Mergenthaler,Edgar Allan Poe
64,3, Koja je glumica glumila Mary Poppins u filmu Mary Poppins iz 1964. godine?,Julie Andrews,Meryl Streep,Julianne Moore,Cate Blanchett
65,3,Koje ime nije nosila ni jedna od šest žena kralja Henrija VIII?,Elizabeth,Jane,Anne,Katarina
66,3,"Prag,kobilica,korpus,konji? su dijelovi?",Gitare,Drvene ku?ice,Ribarskog ?amca,Fijakera
67,3,Strip junak Jerome Jerry Drake ima nadimak?,Mister No,Dylan Dog,Zagor,Otto Kruger
68,3,Nirnberška jaja su?,Satovi,Sijalice,Bilijarske kugle,Kola?i
69,3,Koliko brojeva je mogao zapamtiti prvi elektri?ni racunar ENIAC ?,20,200,20000,2000
70,3,"Askja, Hekla i Katla imena su islandskih ?",Vulkana,Zra?nih luka,Gradova,Bogova
71,3,Kako se zove album Dina Dvornika iz 1993. godine ?,Matematika,Geografija,Prirorada i društvo,Fizika
72,3,Koji predsjednik SAD-a je prvi imao struju u Bijeloj ku?i ?,Benjamin Harrison,William McKinley,Woodrow Wilson,Calvin Coolidge
73,3,"Koja je novozelandska ženska redateljica režirala filmove : In the Cut (2003), The Water Diary (2006) i Bright Star (2009)?", Jane Campion,Kathryn Bigelow,Megan Elliso,Nina Jacobson
74,3,Koji je glumac dao glas za lik Nemo u filmu iz 2003. Pronalazak Nemo?,Alexander Gould,Albert Brooks,Ellen DeGeneres,Willem Dafoe
75,3,"Koja je teniserka pobijedila na Australian Openu 2012. godine pobjedom nad Marijom Sharapovom 6-3, 6-0?",Victoria Azarenka,Serena Williams,Simona Halep,Caroline Wozniacki
76,3,Koja je zemlja dominirala Olimpijskim ljetnim igrama u sinhronizovanom plivanju s pet zlatnih medalja od ponovnog uvo?enja u igre 2000. godine?,Rusija,Kanada,Amerika,Japan
77,3,Ko je pronalaza? gramofona?,Emile Berliner,Guglielmo Marconi,Marie Curie,Thomas Alva Edison
78,3, Tko je bio glavni pjeva? pop grupe Slade iz 1970-ih?,Peter Noone,Steve Whalley,Craig Fenney,Dave Glover
79,3, John Deacon je bio koje ?lan grupe ?,Queen,Iron Maiden,ABBA, Santana
80,3,Koje je nacionalnosti bio umjetnik Henri Matisse?,Francuz,Njemac,Talijan,Španac
,,,,,,
,,,,,,
,,1 29,,,,
,,2 29,,,,
,,3 22,,,,
